year,homicide_type,day
2007,Stabbing,Friday
2007,Shooting,Tuesday
2007,Shooting,Wednesday
2007,Shooting,Wednesday
2007,Stabbing,Saturday
2007,Stabbing,Tuesday
2007,Shooting,Saturday
2007,Shooting,Sunday
2007,Shooting,Sunday
2007,Shooting,Sunday
2007,Shooting,Saturday
2007,Other,Saturday
2007,Stabbing,Sunday
2007,Shooting,Monday
2007,Shooting,Saturday
2007,Stabbing,Thursday
2007,Shooting,Thursday
2007,Other,Wednesday
2007,Stabbing,Wednesday
2007,Shooting,Sunday
2007,Other,Friday
2007,Other,Saturday
2007,Other,Friday
2007,Stabbing,Tuesday
2007,Other,Tuesday
2007,Shooting,Wednesday
2007,Other,Tuesday
2007,Shooting,Friday
2007,Stabbing,Tuesday
2007,Shooting,Saturday
2007,Shooting,Monday
2007,Shooting,Tuesday
2007,Shooting,Sunday
2007,Other,Thursday
2007,Shooting,Sunday
2007,Shooting,Saturday
2007,Stabbing,Saturday
2007,Shooting,Tuesday
2007,Shooting,Friday
2007,Shooting,Friday
2007,Stabbing,Friday
2007,Shooting,Sunday
2007,Shooting,Wednesday
2007,Stabbing,Saturday
2007,Shooting,Sunday
2007,Shooting,Friday
2007,Shooting,Sunday
2007,Stabbing,Tuesday
2007,Stabbing,Tuesday
2008,Stabbing,Tuesday
2008,Shooting,Saturday
2008,Shooting,Thursday
2008,Shooting,Tuesday
2008,Shooting,Friday
2008,Shooting,Friday
2008,Shooting,Sunday
2008,Shooting,Friday
2008,Other,Saturday
2008,Shooting,Monday
2008,Other,Thursday
2008,Shooting,Friday
2008,Stabbing,Tuesday
2008,Shooting,Tuesday
2008,Stabbing,Thursday
2008,Stabbing,Wednesday
2008,Other,Sunday
2008,Stabbing,Sunday
2008,Other,Saturday
2008,Stabbing,Saturday
2008,Shooting,Wednesday
2008,Shooting,Wednesday
2008,Other,Wednesday
2008,Shooting,Friday
2008,Shooting,Friday
2008,Shooting,Friday
2008,Shooting,Sunday
2008,Other,Sunday
2008,Other,Monday
2008,Shooting,Wednesday
2008,Stabbing,Monday
2008,Shooting,Thursday
2008,Shooting,Saturday
2008,Shooting,Sunday
2008,Shooting,Sunday
2008,Shooting,Sunday
